timestamp,memory_MB,cpu_percent
2025-04-22T23:53:01.172650,58.61,38.00
2025-04-22T23:53:01.277786,58.61,100.10
2025-04-22T23:53:01.379385,58.61,100.00
2025-04-22T23:53:01.484459,58.61,100.00
2025-04-22T23:53:01.589528,58.61,100.00
2025-04-22T23:53:01.694580,58.61,100.00
2025-04-22T23:53:01.799625,58.61,32.60
2025-04-22T23:53:01.903211,58.61,0.00
2025-04-22T23:53:02.008341,58.61,23.90
2025-04-22T23:53:02.113453,58.61,100.00
2025-04-22T23:53:02.215592,58.61,89.50
2025-04-22T23:53:02.322068,58.61,14.50
2025-04-22T23:53:02.432435,58.47,78.30
2025-04-22T23:53:02.536416,42.64,95.60
2025-04-22T23:53:02.641527,41.20,99.80
2025-04-22T23:53:02.746624,41.70,100.00
2025-04-22T23:53:02.851713,41.92,25.40
2025-04-22T23:53:02.956816,42.38,0.00
2025-04-22T23:53:03.062064,42.38,32.30
2025-04-22T23:53:03.167204,43.00,100.00
2025-04-22T23:53:03.269276,43.44,100.00
2025-04-22T23:53:03.374335,43.52,100.10
2025-04-22T23:53:03.479390,43.52,100.00
2025-04-22T23:53:03.580816,43.48,100.00
2025-04-22T23:53:03.685634,43.48,55.20
2025-04-22T23:53:03.788986,43.48,0.00
2025-04-22T23:53:03.894049,43.48,0.30
2025-04-22T23:53:03.997803,43.48,99.90
2025-04-22T23:53:04.102939,43.53,100.00
2025-04-22T23:53:04.207985,43.62,99.60
2025-04-22T23:53:04.313052,43.56,99.90
2025-04-22T23:53:04.416837,43.56,99.90
2025-04-22T23:53:04.518231,43.52,86.40
2025-04-22T23:53:04.618964,43.52,0.00
2025-04-22T23:53:04.724096,43.52,0.00
2025-04-22T23:53:04.829297,43.52,70.50
2025-04-22T23:53:04.934427,43.55,100.00
2025-04-22T23:53:05.039472,43.61,100.00
2025-04-22T23:53:05.144512,43.61,100.00
2025-04-22T23:53:05.249553,43.61,99.70
2025-04-22T23:53:05.354623,43.61,99.70
2025-04-22T23:53:05.457469,43.61,11.30
2025-04-22T23:53:05.562597,43.61,0.00
2025-04-22T23:53:05.667723,43.61,45.90
2025-04-22T23:53:05.772808,43.62,99.80
2025-04-22T23:53:05.877871,43.72,100.00
2025-04-22T23:53:05.982932,43.66,98.60
2025-04-22T23:53:06.087837,42.62,100.00
2025-04-22T23:53:06.192906,42.62,99.70
2025-04-22T23:53:06.297978,42.62,29.80
2025-04-22T23:53:06.403090,42.58,0.20
2025-04-22T23:53:06.508299,42.58,24.00
2025-04-22T23:53:06.612053,40.20,90.90
2025-04-22T23:53:06.712583,40.17,96.40
2025-04-22T23:53:06.817766,40.25,99.80
2025-04-22T23:53:06.922888,40.25,100.00
2025-04-22T23:53:07.027965,40.25,99.90
2025-04-22T23:53:07.133027,40.25,85.60
2025-04-22T23:53:07.234257,40.20,28.80
2025-04-22T23:53:07.336224,40.20,0.20
2025-04-22T23:53:07.440486,40.20,0.00
2025-04-22T23:53:07.545699,40.20,83.70
2025-04-22T23:53:07.650173,40.20,99.80
2025-04-22T23:53:07.752653,40.33,77.00
2025-04-22T23:53:07.857813,40.30,56.10
2025-04-22T23:53:07.960239,40.22,98.40
2025-04-22T23:53:08.065426,40.23,99.30
2025-04-22T23:53:08.170553,40.23,96.60
2025-04-22T23:53:08.275653,40.23,0.00
2025-04-22T23:53:08.380737,40.23,0.30
2025-04-22T23:53:08.485970,40.23,60.80
2025-04-22T23:53:08.591150,40.25,100.00
2025-04-22T23:53:08.695448,40.30,100.00
2025-04-22T23:53:08.800489,40.31,100.00
2025-04-22T23:53:08.903147,40.31,100.10
2025-04-22T23:53:09.008202,40.31,100.00
2025-04-22T23:53:09.113246,40.31,15.20
2025-04-22T23:53:09.218310,40.31,0.00
2025-04-22T23:53:09.323558,40.31,42.80
2025-04-22T23:53:09.428741,41.83,99.80
2025-04-22T23:53:09.533832,41.91,100.00
2025-04-22T23:53:09.638883,41.98,100.00
2025-04-22T23:53:09.743923,41.98,100.00
2025-04-22T23:53:09.848963,41.98,100.20
2025-04-22T23:53:09.954000,42.23,33.30
2025-04-22T23:53:10.059058,42.33,0.00
2025-04-22T23:53:10.164204,42.33,23.30
2025-04-22T23:53:10.267603,42.33,100.00
2025-04-22T23:53:10.372662,41.39,100.10
2025-04-22T23:53:10.477720,42.34,100.00
2025-04-22T23:53:10.582584,42.34,100.00
2025-04-22T23:53:10.687626,42.34,100.00
2025-04-22T23:53:10.792662,42.34,50.30
2025-04-22T23:53:10.897718,42.34,0.00
2025-04-22T23:53:11.002787,42.34,7.20
2025-04-22T23:53:11.107926,42.34,99.00
2025-04-22T23:53:11.213028,42.34,96.20
2025-04-22T23:53:11.318087,56.66,100.10
2025-04-22T23:53:11.423137,56.66,100.00
2025-04-22T23:53:11.528184,56.66,100.00
2025-04-22T23:53:11.633229,56.66,93.40
2025-04-22T23:53:11.738295,56.66,0.00
2025-04-22T23:53:11.843362,56.66,0.20
2025-04-22T23:53:11.948871,56.66,62.70
2025-04-22T23:53:12.049108,56.66,100.00
2025-04-22T23:53:12.154147,56.67,100.00
2025-04-22T23:53:12.259183,56.67,100.00
2025-04-22T23:53:12.364216,56.67,100.10
2025-04-22T23:53:12.469293,56.67,100.00
2025-04-22T23:53:12.574346,56.67,13.00
2025-04-22T23:53:12.679403,56.67,0.00
2025-04-22T23:53:12.784584,56.67,42.30
2025-04-22T23:53:12.885722,56.67,100.00
2025-04-22T23:53:12.990762,56.67,100.00
2025-04-22T23:53:13.095811,56.67,100.00
2025-04-22T23:53:13.200844,56.67,100.00
2025-04-22T23:53:13.305881,56.67,100.10
2025-04-22T23:53:13.410913,56.67,27.10
2025-04-22T23:53:13.515966,56.67,0.00
2025-04-22T23:53:13.621128,56.67,27.90
2025-04-22T23:53:13.722595,56.67,100.00
2025-04-22T23:53:13.827632,56.67,100.10
2025-04-22T23:53:13.932670,56.67,100.00
2025-04-22T23:53:14.037705,56.67,100.00
2025-04-22T23:53:14.142735,56.67,100.00
2025-04-22T23:53:14.247762,56.67,83.00
2025-04-22T23:53:14.352823,56.67,0.10
2025-04-22T23:53:14.457904,56.67,0.10
2025-04-22T23:53:14.562927,56.67,74.30
2025-04-22T23:53:14.668057,56.67,100.00
2025-04-22T23:53:14.773099,56.67,100.00
2025-04-22T23:53:14.878127,56.67,100.10
2025-04-22T23:53:14.983162,56.66,100.00
2025-04-22T23:53:15.088196,56.66,100.00
2025-04-22T23:53:15.193228,56.66,31.00
2025-04-22T23:53:15.298282,56.66,0.10
2025-04-22T23:53:15.401406,56.66,24.30
2025-04-22T23:53:15.506169,56.66,100.00
2025-04-22T23:53:15.611207,56.66,100.00
2025-04-22T23:53:15.716239,56.66,100.00
2025-04-22T23:53:15.821266,56.66,100.10
2025-04-22T23:53:15.926301,56.55,100.00
2025-04-22T23:53:16.031331,56.55,42.90
2025-04-22T23:53:16.136389,56.55,0.00
2025-04-22T23:53:16.239724,56.55,12.80
2025-04-22T23:53:16.344827,56.50,99.20
2025-04-22T23:53:16.449951,56.42,100.00
2025-04-22T23:53:16.552013,56.44,100.00
2025-04-22T23:53:16.657079,56.44,100.00
2025-04-22T23:53:16.762118,56.44,100.00
2025-04-22T23:53:16.867158,56.44,62.30
2025-04-22T23:53:16.972229,56.44,0.00
2025-04-22T23:53:17.077301,56.44,0.00
2025-04-22T23:53:17.182379,56.42,93.70
2025-04-22T23:53:17.287457,56.36,100.00
2025-04-22T23:53:17.392524,56.36,100.10
2025-04-22T23:53:17.497600,56.36,100.00
2025-04-22T23:53:17.602658,56.36,100.00
2025-04-22T23:53:17.703072,56.36,100.00
2025-04-22T23:53:17.803407,56.36,26.60
2025-04-22T23:53:17.903814,56.36,0.10
2025-04-22T23:53:18.008984,56.36,26.80
2025-04-22T23:53:18.110322,56.36,99.90
2025-04-22T23:53:18.215409,56.45,100.00
2025-04-22T23:53:18.320484,56.45,100.10
2025-04-22T23:53:18.425546,56.45,100.00
2025-04-22T23:53:18.530603,56.45,100.00
2025-04-22T23:53:18.632688,56.45,52.90
2025-04-22T23:53:18.737762,56.45,0.00
2025-04-22T23:53:18.842822,56.45,8.30
2025-04-22T23:53:18.947939,56.45,100.00
2025-04-22T23:53:19.053005,56.45,100.00
2025-04-22T23:53:19.158064,56.47,100.00
2025-04-22T23:53:19.258516,56.47,99.70
2025-04-22T23:53:19.363589,56.45,100.00
2025-04-22T23:53:19.468659,56.45,70.50
2025-04-22T23:53:19.573771,56.45,0.00
2025-04-22T23:53:19.676687,56.45,0.00
2025-04-22T23:53:19.781904,56.45,84.40
2025-04-22T23:53:19.884564,56.48,100.10
2025-04-22T23:53:19.989631,56.50,100.10
2025-04-22T23:53:20.092728,56.50,100.10
2025-04-22T23:53:20.195130,56.50,100.00
2025-04-22T23:53:20.296773,56.50,100.00
2025-04-22T23:53:20.401834,56.50,12.30
2025-04-22T23:53:20.506918,56.50,0.10
2025-04-22T23:53:20.612086,56.50,43.20
2025-04-22T23:53:20.713527,56.50,100.00
2025-04-22T23:53:20.813939,56.47,100.10
2025-04-22T23:53:20.914291,56.47,100.00
2025-04-22T23:53:21.019337,56.47,100.00
2025-04-22T23:53:21.124380,56.47,100.00
2025-04-22T23:53:21.229416,56.47,50.00
2025-04-22T23:53:21.334446,56.47,0.10
2025-04-22T23:53:21.439505,56.47,8.40
2025-04-22T23:53:21.544658,56.47,100.00
2025-04-22T23:53:21.649758,56.47,100.00
2025-04-22T23:53:21.754825,56.45,100.00
2025-04-22T23:53:21.859877,56.45,100.00
2025-04-22T23:53:21.964924,56.45,100.00
2025-04-22T23:53:22.069960,56.45,71.40
2025-04-22T23:53:22.175019,56.45,0.00
2025-04-22T23:53:22.280097,56.45,0.10
2025-04-22T23:53:22.385358,56.42,86.20
2025-04-22T23:53:22.490448,56.42,100.00
2025-04-22T23:53:22.591677,56.42,100.10
2025-04-22T23:53:22.696755,56.42,100.00
2025-04-22T23:53:22.798743,56.42,99.80
2025-04-22T23:53:22.903846,56.42,99.80
2025-04-22T23:53:23.008950,56.42,14.60
2025-04-22T23:53:23.114050,56.42,0.00
2025-04-22T23:53:23.219044,56.41,32.00
2025-04-22T23:53:23.322796,56.41,55.20
2025-04-22T23:53:23.425311,56.45,80.80
2025-04-22T23:53:23.528612,56.58,100.00
2025-04-22T23:53:23.633699,56.59,100.00
2025-04-22T23:53:23.738777,56.59,100.00
2025-04-22T23:53:23.841204,56.59,100.00
2025-04-22T23:53:23.941555,56.59,48.90
